0, Infinity, 7.48286983923139E9, 8.0737555316699295E9, 2.0450177033056565E31, 8.204714665777354E9, Infinity, 9.28234929109898E9, 8.60310537756078E9, Infinity, Infinity, 2.869686657272142E11, 7.997071320368367E9, 8.357593598837418E9, Infinity, 7.326713368117344E9, Infinity, Infinity, Infinity, 7.226463459836831E9, 8.220807929694426E9, Infinity, Infinity, 7.263527847638164E9, Infinity, 8.559359356611152E9, 6.536788097468273E9, 4.4711241245760236E11, Infinity, 6.746262581362976E9, 8.264738762717324E42, 3.4629110236699495E25, Infinity, 8.142657330620776E9, 1.3652317624487598E10, 8.721523015846312E9, Infinity, 7.340998301983291E11, 6.903798849679584E9, 6.141354694170929E9, Infinity, 5.537181451658626E9, Infinity, Infinity, 8.431716760390397E9, 1.7666360691670613E31, Infinity, 2.0438103243930353E11, 7.673415022760907E9, 7.365320569798441E9, 9.165811770754671E9, 8.288172406004871E9, 9.10057239621454E9, 8.961667364289007E9, 7.1630125875568905E9, 8.179424152189018E9, 8.309516636161135E9, Infinity, 8.018497537009214E9, Infinity, Infinity, 8.248421413969595E9, Infinity, 9.067061845788904E9, Infinity, 7.620301073199109E9, 9.6897301045426E9, 7.7217066861047125E9, 7.305348729283444E9, 7.55916121582911E9, Infinity, 9.299319045596848E9, 5.482702675357892E9, Infinity, 9.22060490883087E9, 8.5436974362579565E9, 8.662354511757442E9, Infinity, 1.0869971156961136E10, 8.16110648531152E9, 8.273880729163761E9, 7.939941133905289E9, Infinity, 7.964300911529496E9, 8.259371680247178E9, 2.2040088775136735E25, 7.195420973627412E9, 7.776724323007087E9, Infinity, 9.144320265134636E9, 6.777807537497456E9, 1.4545351762512321E26, Infinity, 8.140371150148405E9, 7.946391967116782E9, Infinity, 8.057857781032142E9, 5.51538185261454E9, 8.515606290472955E9, 1.4830536700626554E10, 7.336062566792726E9
1, 6.481826813754555E9, 6.510508568312033E9, 6.575855823825772E9, 6.584423678058861E9, 6.813111782985646E9, 6.917774107347808E9, 7.276920422219762E9, 7.38984877928088E9, 7.390514229160152E9, 7.413926410353217E9, 7.482700743327251E9, 7.496062387092632E9, 7.499087285456005E9, 7.559683742026516E9, 7.565731452460145E9, 7.581029946284029E9, 7.614090699420857E9, 7.618674912147298E9, 7.63749182776053E9, 7.686414208964461E9, 7.739766525835627E9, 7.785022209622993E9, 7.793204561748967E9, 7.818816902262693E9, 7.840584559908136E9, 7.877601114155021E9, 7.933988151442842E9, 8.011566377498323E9, 8.013172099125231E9, 8.108718562768363E9, 8.117989892577172E9, 8.120718876886833E9, 8.151609596107867E9, 6.204648090519242E9, 8.205030001390996E9, 8.212090985667938E9, 8.213737493335651E9, 8.27853672194725E9, 8.298015715962859E9, 8.308068934555433E9, 8.308257141314639E9, 8.327821591110424E9, 7.351366093971017E9, 8.360422771808821E9, 8.364869682173695E9, 8.370112947619566E9, 8.4011417794598465E9, 8.455259789876599E9, 8.502295695163803E9, 8.525279082762934E9, 8.5442646895883465E9, 8.548165256970381E9, 8.557818752292417E9, 8.561463856032755E9, 8.669687342133076E9, 8.670183493257595E9, 7.70832720589043E9, 8.720969815848658E9, 8.792120775353964E9, 8.792687435251316E9, 8.835316959823034E9, 8.949393810957209E9, 8.970439382344563E9, 8.985499116187635E9, 9.058839005598688E9, 8.063514809809264E9, 8.068049215151673E9, 9.111562761314703E9, 9.125166078037703E9, 9.126580093463287E9, 9.176838033272287E9, 9.243349511088573E9, 8.271610566425951E9, 8.300053218194591E9, 8.340843468604569E9, 8.404703277309395E9, 9.40528373248159E9, 9.431430462602846E9, 9.439760372412706E9, 9.443284309965555E9, 9.448182980170635E9, 7.547982441936074E9, 9.562030125123245E9, 8.563891826572586E9, 9.59372975472628E9, 9.83055113685439E9, 6.857154807995622E9, 6.918566306696878E9, 9.92784867909097E9, 8.948091017938492E9, 1.0042805537560528E10, 9.131298072507656E9, 8.234495059618887E9, 7.342583969430767E9, 8.427800395296701E9, 9.4589242631409E9, 9.67359851113394E9, 7.736960242229719E9, 8.90287581301379E9, 8.05870190118948E9
2, 6.297107354171029E9, 6.461206339433482E9, 6.574903687865945E9, 6.578076993307076E9, 6.80928323377621E9, 6.96925555384829E9, 6.971559655643091E9, 6.973707957426674E9, 7.014991269928724E9, 7.024942000957996E9, 7.122684068928366E9, 7.240179962407681E9, 7.250235469446311E9, 7.279277525179805E9, 7.291201385990627E9, 7.300945136859185E9, 7.309305495858253E9, 7.324472134437271E9, 7.343838369384456E9, 7.379553434714104E9, 7.395605531661678E9, 7.410737480453585E9, 7.456452322684251E9, 7.465142528501257E9, 7.481665905027931E9, 7.486108963114891E9, 7.504883506140183E9, 7.50827107455565E9, 7.5169147152597475E9, 7.531099590716035E9, 7.558202509922458E9, 7.591015590598833E9, 7.6059411297122755E9, 5.6473554583140335E9, 7.701446245682501E9, 7.707677779409905E9, 7.710629085939248E9, 7.714234327024247E9, 7.720547128543988E9, 7.738845535454077E9, 7.748782232501051E9, 7.752302543339171E9, 7.753674951593832E9, 7.753815077578043E9, 7.772848994282583E9, 7.787322610965536E9, 7.79317662255889E9, 7.810251839432501E9, 7.826490873946768E9, 7.828280347077162E9, 7.828693636066033E9, 7.861298710586226E9, 7.888516238452576E9, 7.896397367008726E9, 7.9019446772312355E9, 7.920233050100206E9, 7.945777657586456E9, 7.959232784167385E9, 7.965706786705138E9, 7.96764105817967E9, 7.9827430789234295E9, 7.990635645371426E9, 8.00828816431866E9, 8.0228703615992985E9, 8.025154285380017E9, 8.026200804686042E9, 8.043582468941065E9, 8.058871661187652E9, 8.093664701105981E9, 8.093894236741501E9, 8.121592857136966E9, 8.134134504834146E9, 8.1419754802252E9, 8.147418588728577E9, 8.15475168692557E9, 8.16151532880681E9, 8.195278349840213E9, 8.199582436531589E9, 8.215910805565931E9, 8.221679142987207E9, 8.222764715680597E9, 7.230498907566284E9, 7.239056386094162E9, 8.281033640627271E9, 8.288265292920283E9, 8.311328812423324E9, 8.322669424730375E9, 8.3231219892925825E9, 8.367488051601902E9, 6.378648445293453E9, 6.391001078553146E9, 8.410457503553257E9, 8.431858451438391E9, 8.440945825370844E9, 8.444323028717462E9, 8.456528021830018E9, 8.477880573038826E9, 8.482700563663916E9, 8.498120154578075E9, 8.515328195184966E9
3, 5.593663820332878E9, 6.276083664015601E9, 6.338587149094597E9, 6.499148381185725E9, 6.648320905493016E9, 6.720622928519596E9, 6.74090571179511E9, 6.769927685598974E9, 6.848170179500899E9, 6.931412735575E9, 6.990761130458689E9, 6.992242377923128E9, 7.022101773387948E9, 7.032277718008311E9, 7.046604700777006E9, 7.0769193539647E9, 7.100827969363755E9, 7.117788831859007E9, 7.123039616524044E9, 7.140488448279053E9, 7.166819541480961E9, 7.201686800022982E9, 7.221150913950209E9, 7.237972989238426E9, 7.248270898184487E9, 7.257377793698665E9, 7.273185604900439E9, 7.298644790984335E9, 7.316272266187095E9, 7.319106292828707E9, 7.385254516845922E9, 7.386597954310181E9, 7.401774142083219E9, 7.431684525241736E9, 7.483417574186443E9, 7.522427330507928E9, 7.527453040266443E9, 7.55023006736622E9, 7.574841053833764E9, 7.577505670118037E9, 7.581041540569143E9, 7.594672339210019E9, 7.641657264145387E9, 7.659665162081252E9, 6.662362845888743E9, 7.665759424736997E9, 7.668758131857868E9, 7.702941622413667E9, 7.723707457046816E9, 7.729155993093604E9, 7.737936309887288E9, 7.757740505086329E9, 7.788031837614173E9, 7.823720527560717E9, 7.832950284304637E9, 7.83530816308353E9, 7.8432310307985935E9, 7.855850530887104E9, 7.860197176416145E9, 7.863112690256867E9, 7.919539800556895E9, 7.937672875226076E9, 7.97965505492347E9, 7.98648058419039E9, 7.996653076611791E9, 8.007535302791577E9, 8.008155120595724E9, 8.022357729366214E9, 8.035053644555295E9, 8.038973083195845E9, 8.040510169186684E9, 8.043304794896972E9, 8.053998628445502E9, 8.056534038449575E9, 8.059889387517874E9, 8.101356542914138E9, 8.116544751639832E9, 8.122055375965009E9, 8.130318341650885E9, 8.14964629176655E9, 8.154989357463953E9, 8.1884023334909725E9, 8.210304709359119E9, 8.214555233087679E9, 8.2167364840587435E9, 8.239892924997955E9, 8.244157627865225E9, 8.285372294570633E9, 8.294674340781119E9, 8.2987737381962185E9, 8.31470920886035E9, 8.336730695436842E9, 8.345178157763335E9, 8.351979906571592E9, 8.354023819066556E9, 8.357987884233374E9, 8.373024668541511E9, 8.395625414541386E9, 8.424201506966876E9, 8.428880425288013E9
4, 5.971130749995408E9, 6.163323657718416E9, 6.282296707756489E9, 6.300535649367537E9, 6.320793030944981E9, 6.387492229427512E9, 6.513830994554621E9, 6.542509038190247E9, 6.61832685251164E9, 6.641156923401549E9, 6.706110184494256E9, 6.7070285361936245E9, 6.765485419530684E9, 6.812303880596721E9, 6.829620644505415E9, 6.851140621629549E9, 6.969244540569213E9, 7.030442335405059E9, 7.177563898103117E9, 7.20225574938319E9, 7.304524552650064E9, 7.307368644830952E9, 7.310158989514189E9, 7.346647400035948E9, 7.3535138858684E9, 7.367702856188308E9, 7.3843500919352045E9, 7.399956816968568E9, 7.416649021305521E9, 7.425764436045664E9, 7.451241199643807E9, 7.467880999320214E9, 7.5094837027329445E9, 7.5473095690601015E9, 7.550157753204714E9, 7.552302652358808E9, 7.57530839709317E9, 7.597060941921138E9, 7.6236316914797325E9, 7.654183981151667E9, 7.668223505469605E9, 7.671509113883364E9, 7.67474480100106E9, 7.675002445715336E9, 7.676542928657407E9, 7.682293509754746E9, 7.696894302195129E9, 7.702672654737319E9, 7.743539068803134E9, 7.745347261586852E9, 7.780842963187914E9, 7.78157109444663E9, 7.810325030498216E9, 7.8177192717531185E9, 7.826924044065835E9, 7.835705615143588E9, 7.844554656550477E9, 7.852738883178434E9, 7.880428958725667E9, 7.883245574888846E9, 7.8836812462584305E9, 7.888208420761463E9, 7.89250078573859E9, 7.892995107915337E9, 7.918303778592597E9, 7.920293222526422E9, 7.923632731752572E9, 7.930614566720138E9, 7.961433047284326E9, 7.963822842947546E9, 7.965570871638896E9, 7.969099500764862E9, 7.99208130444612E9, 8.01788120078671E9, 8.0182059265992E9, 8.022312234710486E9, 8.031590095531E9, 8.048364660009056E9, 8.049349792845465E9, 8.056639125703765E9, 8.088896436269808E9, 8.108204957860938E9, 8.120321372093358E9, 8.12440582402857E9, 8.133581422899401E9, 8.134256815643359E9, 8.156845205938461E9, 8.161425018259524E9, 8.16246411041951E9, 8.164708035909237E9, 8.172422087877386E9, 8.176809354706726E9, 8.201375927623827E9, 8.201829170964379E9, 8.201994367851958E9, 8.220115332021221E9, 8.232404052353712E9, 8.258802429149368E9, 8.267101080061595E9, 8.2737810405028105E9
5, 6.23393207301827E9, 6.569284197058887E9, 6.6078059740651245E9, 6.661627496396538E9, 6.699110237486023E9, 6.732315347532913E9, 6.803503246643133E9, 6.821796988494849E9, 6.837114157884443E9, 6.905967886115129E9, 6.924487210113067E9, 6.975473703806997E9, 7.00507636260168E9, 7.044005833633846E9, 7.098973888405382E9, 7.124450628647661E9, 7.144655721433868E9, 7.178350119737693E9, 7.188364048310905E9, 7.202536634114388E9, 7.222211285515546E9, 7.245509192802494E9, 7.251818174430641E9, 7.271403705405566E9, 7.272970801573888E9, 7.276217034588607E9, 7.276929278784924E9, 7.352277960671388E9, 7.395042245990613E9, 7.435164073317276E9, 7.436963044104018E9, 7.44767547915109E9, 7.44803104562677E9, 7.46992399245527E9, 7.496478042893217E9, 7.505819572061455E9, 7.508589921643473E9, 7.5086783630301285E9, 7.533164305581008E9, 7.536718604800954E9, 7.536772302722709E9, 7.571590963401221E9, 7.610400157941253E9, 7.620025057803208E9, 7.636771170546275E9, 7.642118090390117E9, 7.650479973721245E9, 7.655743309584327E9, 7.65580451849075E9, 7.658472553787766E9, 7.663425642964812E9, 7.678845609270146E9, 7.7407027048377285E9, 7.769702713969977E9, 7.773671652528469E9, 7.776930916008207E9, 7.784616066436741E9, 7.797293103438755E9, 7.79918308328199E9, 7.823051264991478E9, 7.831829930542453E9, 7.855123507884277E9, 7.862602984505646E9, 7.865628875270037E9, 7.871866207378089E9, 7.908884802768599E9, 7.930145385676126E9, 7.939716689319505E9, 7.949361394244773E9, 7.965510349806711E9, 7.987283158016397E9, 8.005676472940864E9, 8.045641109366581E9, 8.0546153447917185E9, 8.055662044302937E9, 8.063842732126466E9, 8.073868478049257E9, 8.097624635748251E9, 8.106292760808377E9, 8.129242343957726E9, 8.138697720333145E9, 8.142768087879511E9, 8.145051984255704E9, 8.155359526445373E9, 8.164031962287634E9, 8.166579421541897E9, 8.1876996023071995E9, 8.233309207164416E9, 8.238286991761347E9, 8.245765246701644E9, 8.265337887247306E9, 8.273874963378697E9, 8.301256668099596E9, 8.305853669928866E9, 8.318456241956318E9, 8.323198745194158E9, 8.347215030616816E9, 8.359356321312251E9, 8.359993594490811E9, 8.378890396880309E9
6, 5.380542933396393E9, 6.045798809890603E9, 6.166363228754345E9, 6.382150899453374E9, 6.393552024758885E9, 6.402772238565391E9, 6.43358516877307E9, 6.527992559534077E9, 6.537867978160106E9, 6.567570176520856E9, 6.604980995721359E9, 6.63138649316767E9, 6.663488037710984E9, 6.728762984773675E9, 6.737412609518681E9, 6.77718819910418E9, 6.829215086136925E9, 6.86498806650233E9, 6.872807551500607E9, 6.894886485077883E9, 7.059100185071731E9, 7.059114197801278E9, 7.064844548818025E9, 7.069035893371046E9, 7.1279453526273775E9, 7.225978184494512E9, 7.25296597369965E9, 7.286998061248769E9, 7.310640221911753E9, 7.339007165041095E9, 7.368395840838199E9, 7.406893478392177E9, 7.42173077095293E9, 7.426791291807278E9, 7.430228292057086E9, 7.433792031120827E9, 7.471827120340491E9, 7.476031364509849E9, 7.476545379210078E9, 7.485519193423543E9, 7.487712514265638E9, 7.510845650175873E9, 7.525467933591574E9, 7.528824484909628E9, 7.542878452690761E9, 7.581408922567647E9, 7.628504573644653E9, 7.656864128231218E9, 7.678963095318295E9, 7.688960109012566E9, 7.692588831650269E9, 7.699348623573729E9, 7.699860741095063E9, 7.712548993504126E9, 7.718642061080268E9, 7.721286094945662E9, 7.768532676432668E9, 7.7785865703925295E9, 7.792126494134403E9, 7.81483553084068E9, 7.817625261839712E9, 7.823327803246494E9, 7.85463370126532E9, 7.855486566706064E9, 7.855777907984102E9, 7.870702469604822E9, 7.873166830324608E9, 7.879700148875693E9, 7.898185160159916E9, 7.92267183406973E9, 7.924563122041519E9, 7.926811967260772E9, 7.957989032534186E9, 7.971190421210551E9, 8.001119303726713E9, 8.0093003606015E9, 8.016745511137673E9, 8.018195107105289E9, 8.019801737052729E9, 8.0663306717085285E9, 8.070199420427827E9, 8.081247508643528E9, 8.091744205503097E9, 8.103021201483579E9, 8.117720613053991E9, 8.136480418562895E9, 8.137999913995154E9, 8.138119657772315E9, 8.147213024672684E9, 8.158477479709319E9, 8.168383092088817E9, 8.173350277293973E9, 8.180794431119904E9, 8.183961407560673E9, 8.206742753150278E9, 8.213855380382631E9, 8.245417567782303E9, 8.259610830577544E9, 8.268520724102666E9, 8.274839212688404E9
7, 6.345865629742454E9, 6.4896453729423895E9, 6.531902355197448E9, 6.606010850082221E9, 6.67813049770749E9, 6.72864018619359E9, 6.774070794330443E9, 6.84459016040705E9, 6.930632527405297E9, 6.977830307609041E9, 7.064535820017797E9, 7.074204356282145E9, 7.108544521458115E9, 7.115518575627561E9, 7.160489789117544E9, 7.186412750586411E9, 7.196003819685021E9, 7.196962443820521E9, 7.233282777132504E9, 7.257820352894689E9, 7.268148042554328E9, 7.294148560547918E9, 7.301112720233788E9, 7.313829853770018E9, 7.317737687852903E9, 7.332141328999098E9, 7.343485291400887E9, 7.387718347222869E9, 7.41714263417605E9, 7.445829536154174E9, 7.468358037993119E9, 7.4686263869751E9, 7.503179617485242E9, 7.503461954369813E9, 7.507065881561394E9, 7.508570728473481E9, 7.533537333195748E9, 7.563350117532216E9, 7.5645308081125145E9, 7.588521628735101E9, 7.596415880678453E9, 7.624579886262263E9, 7.631066647787708E9, 7.651807291328257E9, 7.652931966042559E9, 7.664521671078883E9, 7.690134304848202E9, 7.692327324765839E9, 7.7024619723433485E9, 7.722230703659814E9, 7.732010446215716E9, 7.734695106300858E9, 7.73540953328808E9, 7.741407193516884E9, 7.772363604051264E9, 7.779125957479232E9, 7.792929134926616E9, 7.800390227635052E9, 7.806867987927925E9, 7.81940176496147E9, 7.825653709529403E9, 7.836857773938183E9, 7.8501338420841875E9, 7.851814133087985E9, 7.859539796044878E9, 7.875043644664364E9, 7.895367512695588E9, 7.907879754311012E9, 7.933438453922758E9, 7.956796164261198E9, 7.96020135893149E9, 7.960338520656279E9, 7.960348272526792E9, 7.979374140131093E9, 7.981706849217014E9, 8.00014737966024E9, 8.000163794387365E9, 8.013453721547477E9, 8.021555896962614E9, 8.036055051105298E9, 8.042974276113095E9, 8.043434141487589E9, 8.049843922330339E9, 8.062317815164873E9, 8.114888917748879E9, 8.11933985330833E9, 8.136182904654899E9, 8.138267819719147E9, 8.151309472114734E9, 8.153818190613421E9, 8.166721964018187E9, 8.171873752920366E9, 8.184816188601402E9, 8.196622161332177E9, 8.199854885499277E9, 8.237991355782271E9, 8.2421129093828125E9, 8.264263476653832E9, 8.264666936142033E9, 8.293436401516168E9
8, 6.095580392783223E9, 6.314527790147514E9, 6.43410340239428E9, 6.599938455802558E9, 6.635271109031453E9, 6.891991016879244E9, 6.904224463333572E9, 6.915272260254035E9, 6.96266421316367E9, 6.973579002189123E9, 6.984453686200373E9, 7.007733214679681E9, 7.039723241037119E9, 7.053424525017993E9, 7.058094314349584E9, 7.114571509830687E9, 7.151631548810042E9, 7.156068653943604E9, 7.168347030009632E9, 7.175096036556718E9, 7.1778743150794E9, 7.194521706205195E9, 7.201142760435094E9, 7.202742155573397E9, 7.260707562082575E9, 7.265516798744233E9, 7.282782945245361E9, 7.354792529315647E9, 7.365909708026319E9, 7.392148596770571E9, 7.425224230693622E9, 7.437944179321309E9, 7.4725402363717985E9, 7.472558527583405E9, 7.47946730023321E9, 7.517010134115608E9, 7.522034365018818E9, 7.532063524540965E9, 7.535348413512368E9, 7.536785495117394E9, 7.543663290928257E9, 7.567021028107341E9, 7.57213566802911E9, 7.573004877840177E9, 7.586458667218624E9, 7.595419658876108E9, 7.619567295296932E9, 7.631073369213206E9, 7.64623190621579E9, 7.64892300030125E9, 7.650558405656497E9, 7.683793665337183E9, 7.702009740377718E9, 7.710684023917468E9, 7.730345086919058E9, 7.736231749545678E9, 7.761502003478154E9, 7.77318645819945E9, 7.813076927604558E9, 7.814974471661728E9, 7.816368595841264E9, 7.817221780101214E9, 7.826889672608926E9, 7.862008585285E9, 7.863024456471033E9, 7.88148400526175E9, 7.904490388552754E9, 7.910556654579163E9, 7.9134769190047E9, 7.921466314369603E9, 7.929113979299194E9, 7.936897887481683E9, 7.956577259320674E9, 8.01339301128823E9, 8.028292775956834E9, 8.032436307148848E9, 8.033906491050243E9, 8.040909685740425E9, 8.046267114974045E9, 8.064881365450741E9, 8.065290480224998E9, 8.0660751364267235E9, 8.072306023984359E9, 8.084910053908829E9, 8.088116582134509E9, 8.095222321674926E9, 8.103796193532541E9, 8.130762289043091E9, 8.1435230205136795E9, 8.15530493048874E9, 8.172263157870642E9, 8.177357221435058E9, 8.18936597884831E9, 8.228924903360671E9, 8.243797510681252E9, 8.251672578112201E9, 8.262072593942829E9, 8.266210081796965E9, 8.268486284301859E9, 8.28174368309396E9
9, 5.600382322355435E9, 5.940467337787787E9, 6.08605316795505E9, 6.33620491961227E9, 6.355472810611009E9, 6.459576538539682E9, 6.540305954350554E9, 6.604166833683529E9, 6.666493561245805E9, 6.677489997950458E9, 6.703102946795945E9, 6.733463600377737E9, 6.77634832849179E9, 6.780817972379577E9, 6.787658514634137E9, 6.861667416761283E9, 6.87366235807096E9, 6.879880583548116E9, 6.894750929305806E9, 6.908590557022517E9, 7.068451399240223E9, 7.105020269557061E9, 7.147321294689364E9, 7.162992101030646E9, 7.177872045548775E9, 7.18017027816282E9, 7.199759583245197E9, 7.236156780095039E9, 7.236915933358877E9, 7.240305857164446E9, 7.289273349094898E9, 7.294597890188768E9, 7.308571937674484E9, 7.318881736297997E9, 7.422014855388612E9, 7.42918813669079E9, 7.486524359166191E9, 7.498267811484351E9, 7.505574404755224E9, 7.5203725141048975E9, 7.532566553081734E9, 7.534979770328405E9, 7.560423664275198E9, 7.576444815655545E9, 7.581180103573961E9, 7.585977642848803E9, 7.590226277559788E9, 7.606668258548549E9, 7.623362738803525E9, 7.651252862869911E9, 7.65665634559835E9, 7.6770701841576185E9, 7.695118331807387E9, 7.701978869535849E9, 7.722628299833981E9, 7.725365444918248E9, 7.728508198491902E9, 7.733365883777874E9, 7.741641796189295E9, 7.752951269337646E9, 7.763020296789637E9, 7.775395756240265E9, 7.794535558276067E9, 7.795404293810743E9, 7.798163583094283E9, 7.799989325912383E9, 7.82786134176028E9, 7.828947578935167E9, 7.833134232089193E9, 7.842848112678828E9, 7.847508887745068E9, 7.869181630089209E9, 7.869740138541081E9, 7.877520578362158E9, 7.878177340026786E9, 7.890915067040531E9, 7.900472126975608E9, 7.930134931866846E9, 7.930449702057061E9, 7.944444109858699E9, 7.9592590359027195E9, 7.962822320655764E9, 7.97544049933552E9, 7.978672159745441E9, 8.010013670664865E9, 8.016565557138876E9, 8.079103790032038E9, 8.079275899045025E9, 8.080439526564282E9, 8.092717332875622E9, 8.114767249342187E9, 8.117557117947462E9, 8.1194818625440035E9, 8.1571077502961855E9, 8.161690299072388E9, 8.168706043599404E9, 8.1901131034388485E9, 8.209055126646774E9, 8.211140259308649E9, 8.212776013963714E9
10, 5.673740356778045E9, 6.197004390272318E9, 6.41803147427377E9, 6.439690244151438E9, 6.519563201976542E9, 6.563496650775687E9, 6.756836905015719E9, 6.784406808176626E9, 6.875634497979067E9, 6.927739621351184E9, 6.968909453768792E9, 6.976352427839506E9, 6.98690449866289E9, 7.0094456727671995E9, 7.055871801975873E9, 7.062306339001005E9, 7.067465116037725E9, 7.132844432071001E9, 7.165973256535731E9, 7.1813134024148E9, 7.187635742528228E9, 7.194973193964998E9, 7.197772267738084E9, 7.198682036261694E9, 7.214637133869837E9, 7.255261111491777E9, 7.257950403770059E9, 7.2734394850110445E9, 7.324989251923351E9, 7.32992230979845E9, 7.347952118182192E9, 7.34935242230965E9, 7.3519384907802515E9, 7.372175386686154E9, 7.389719615881179E9, 7.404323148615412E9, 7.417410334084431E9, 7.449939054593222E9, 7.474268603766743E9, 7.504192233402926E9, 7.505040641624046E9, 7.514672994374119E9, 7.52710956990275E9, 7.581121640993258E9, 7.588522891648576E9, 7.591781367939143E9, 7.596483289919001E9, 7.607408318623163E9, 7.640781909181537E9, 7.64120899395322E9, 7.681913492091869E9, 7.687925199869521E9, 7.752356474621335E9, 7.768815042721E9, 7.77090210040202E9, 7.785911244816257E9, 7.785945001614511E9, 7.790433222734888E9, 7.812713470132803E9, 7.814033302087892E9, 7.823914977229222E9, 7.824293420207478E9, 7.835880068960082E9, 7.8376175925907135E9, 7.838831440044873E9, 7.866882598556512E9, 7.9020226245513115E9, 7.91055948643045E9, 7.92162180623027E9, 7.925988630278187E9, 7.928463649479243E9, 7.958383655696566E9, 7.959133478110824E9, 7.97458942422395E9, 7.983277854797785E9, 7.984366471962376E9, 8.004060713218965E9, 8.005667554325959E9, 8.021226135809379E9, 8.021268183524734E9, 8.026149380003102E9, 8.02705873149242E9, 8.027338143425093E9, 8.028293843279643E9, 8.039643327251617E9, 8.044536776960008E9, 8.0457393752012005E9, 8.048013001157541E9, 8.062920746432083E9, 8.083874239901963E9, 8.084249195906982E9, 8.124412647647312E9, 8.1294806924163685E9, 8.132851982101133E9, 8.167652656818333E9, 8.195402818755009E9, 8.2105237211720705E9, 8.250017567674373E9, 8.258205287181099E9, 8.2784522264904785E9
